종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
265520,AP시스템,"25,900","-300","1.15","8,556,056,800","375,037,879,300"
035760,CJ ENM,"127,900","3,500","2.81","29,326,535,700","2,804,738,796,600"
051500,CJ프레시웨이,"20,950","150","0.72","3,094,761,200","248,709,726,700"
058820,CMG제약,"3,820","-50","1.29","6,551,380,635","530,568,372,080"
028150,GS홈쇼핑,"127,700","-1,800","1.39","2,932,784,400","838,031,250,000"
035900,JYP Ent.,"20,750","-50","0.24","8,372,752,350","736,521,084,000"
035600,KG이니시스,"22,000","-50","0.23","10,393,033,000","613,897,548,000"
060250,NHN한국사이버결제,"38,650","1,250","3.34","34,476,171,600","887,844,339,450"
030190,NICE평가정보,"17,550","-400","2.23","3,327,567,450","1,065,545,091,000"
218410,RFHIC,"38,550","-100","0.26","13,221,042,100","919,325,751,000"
036540,SFA반도체,"5,290","40","0.76","28,403,006,620","869,995,002,870"
178920,SKC코오롱PI,"32,800","150","0.46","6,184,639,950","963,215,361,600"
036490,SK머티리얼즈,"157,500","-1,100","0.69","8,421,606,500","1,661,258,497,500"
217730,강스템바이오텍,"8,350","-130","1.53","17,411,125,950","175,178,298,950"
098460,고영,"81,100","-1,400","1.70","4,471,807,500","1,113,580,126,100"
215000,골프존,"53,500","900","1.71","4,218,923,700","335,734,702,500"
078130,국일제지,"6,020","30","0.50","22,262,062,280","760,617,271,680"
089600,나스미디어,"28,850","550","1.94","2,592,717,150","252,572,835,350"
092730,네오팜,"30,900","-150","0.48","1,226,753,800","253,607,454,900"
007390,네이처셀,"11,050","-300","2.64","26,672,416,550","676,153,908,950"
033640,네패스,"29,100","250","0.87","32,514,401,450","671,022,778,200"
041140,넥슨지티,"7,380","-220","2.89","38,355,819,850","261,055,116,360"
144510,녹십자랩셀,"41,250","-2,350","5.39","11,772,947,950","435,354,727,500"
031390,녹십자셀,"39,150","-450","1.14","2,648,754,700","474,151,522,500"
119860,다나와,"26,900","-200","0.74","2,800,386,200","351,712,711,800"
